Empleado1,Empleado2,similarity
Empleado10443,Empleado9199,1.0
Empleado10444,Empleado14321,1.0
Empleado10445,Empleado7895,1.0
Empleado10446,Empleado14016,1.0
Empleado10447,Empleado7532,1.0
Empleado10448,Empleado13426,1.0
Empleado10449,Empleado13071,1.0
Empleado1045,Empleado12544,1.0
Empleado10450,Empleado6392,1.0
Empleado10451,Empleado14842,1.0
Empleado10452,Empleado8361,1.0
Empleado10453,Empleado6919,1.0
Empleado10454,Empleado5882,1.0
Empleado10455,Empleado8130,1.0
Empleado10456,Empleado2861,1.0
Empleado10457,Empleado11031,1.0
Empleado10458,Empleado3776,1.0
Empleado10459,Empleado11554,1.0
Empleado1046,Empleado13181,1.0
Empleado10460,Empleado7763,1.0
Empleado10461,Empleado8759,1.0
Empleado10462,Empleado4726,1.0
Empleado10463,Empleado4980,1.0
Empleado10464,Empleado6930,1.0
Empleado10466,Empleado8800,1.0
Empleado10467,Empleado5244,1.0
Empleado10468,Empleado696,1.0
Empleado10469,Empleado7304,1.0
Empleado1047,Empleado14427,1.0
Empleado10470,Empleado6092,1.0
Empleado10471,Empleado6445,1.0
Empleado10472,Empleado14949,1.0
Empleado10473,Empleado14201,1.0
Empleado10474,Empleado5853,1.0
Empleado10475,Empleado10081,1.0
Empleado10476,Empleado12835,1.0
Empleado10477,Empleado7012,1.0
Empleado10478,Empleado9400,1.0
Empleado10479,Empleado7493,1.0
Empleado1048,Empleado751,1.0
Empleado10480,Empleado9681,1.0
Empleado10481,Empleado3782,1.0
Empleado10482,Empleado12067,1.0
Empleado10483,Empleado10747,1.0
Empleado10484,Empleado3771,1.0
Empleado10485,Empleado4818,1.0
Empleado10486,Empleado13340,1.0
Empleado10487,Empleado5905,1.0
Empleado10488,Empleado3302,1.0
Empleado10489,Empleado8873,1.0
Empleado1049,Empleado12224,1.0
Empleado10490,Empleado9572,1.0
Empleado10491,Empleado10149,1.0
Empleado10492,Empleado5782,1.0
Empleado10493,Empleado139,1.0
Empleado10494,Empleado648,1.0
Empleado10495,Empleado5461,1.0
Empleado10496,Empleado2278,1.0
Empleado10497,Empleado4786,1.0
Empleado10498,Empleado11324,1.0
Empleado10499,Empleado3270,1.0
Empleado105,Empleado1103,1.0
Empleado1050,Empleado3844,1.0
Empleado10500,Empleado3033,1.0
Empleado10501,Empleado5100,1.0
Empleado10502,Empleado12954,1.0
Empleado10503,Empleado7464,1.0
Empleado10504,Empleado10761,1.0
Empleado10505,Empleado3422,1.0
Empleado10506,Empleado8440,1.0
Empleado10507,Empleado7560,1.0
Empleado10508,Empleado9040,1.0
Empleado10509,Empleado4514,1.0
Empleado1051,Empleado2350,1.0
Empleado10510,Empleado13307,1.0
Empleado10511,Empleado7205,1.0
Empleado10512,Empleado12326,1.0
Empleado10513,Empleado13481,1.0
Empleado10514,Empleado1128,1.0
Empleado10515,Empleado593,1.0
Empleado10516,Empleado9507,1.0
Empleado10517,Empleado11975,1.0
Empleado10518,Empleado11092,1.0
Empleado10519,Empleado12828,1.0
Empleado1052,Empleado6807,1.0
Empleado10520,Empleado5527,1.0
Empleado10521,Empleado5507,1.0
Empleado10522,Empleado8892,1.0
Empleado10523,Empleado2397,1.0
Empleado10524,Empleado9153,1.0
Empleado10525,Empleado13911,1.0
Empleado10526,Empleado8700,1.0
Empleado10527,Empleado13925,1.0
Empleado10528,Empleado622,1.0
Empleado10529,Empleado9685,1.0
Empleado1053,Empleado612,1.0
Empleado10530,Empleado8461,1.0
Empleado10531,Empleado2555,1.0
Empleado10532,Empleado11896,1.0
Empleado10533,Empleado5343,1.0
Empleado10534,Empleado11217,1.0
Empleado10535,Empleado14464,1.0
Empleado10536,Empleado13548,1.0
